Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Joe Jimenez\jimenjo02,26,pr PR,R,R,6' 3",272,Jan 17 1995,5,52,0,6,52,52,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,$1500000,
JaCoby Jones\jonesja07,29,us US,R,R,6' 2",201,May 10 1992,6,36,27,36,32,0,0,0,0,0,0,2,30,0,32,1,3,4,-0.7,$2650000,
Ian Krol\krolia01,30,us US,L,L,6' 1",210,May 9 1991,7,18,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Alex Lange\langeal01,25,us US,R,R,6' 3",197,Oct 2 1995,1st,36,0,3,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0.3,,
Matt Manning\mannima02,23,us US,R,R,6' 6",195,Jan 28 1998,1st,18,18,1,18,18,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,
Nomar Mazara\mazarno01,26,do DO,L,L,6' 4",215,Apr 26 1995,6,50,46,50,41,0,0,0,0,0,0,0,0,41,41,8,3,0,-0.3,$1750000,
Casey Mize\mizeca01,24,us US,R,R,6' 3",220,May 1 1997,2,30,30,2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,3.3,,
Daniel Norris\norrida01,28,us US,L,L,6' 2",185,Apr 25 1993,8,38,0,2,38,38,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,$3475000,
Renato Nunez\nunezre01,27,ve VE,R,R,6' 1",220,Apr 4 1994,6,14,14,14,8,0,0,8,0,0,0,0,0,0,0,6,0,0,-0.2,$100000,
Isaac Paredes\paredis01,22,mx MX,R,R,5' 11",213,Feb 18 1999,2,23,21,23,23,0,0,0,10,8,5,0,0,0,0,0,0,0,-0.4,,
Wily Peralta\peralwi01,32,do DO,R,R,6' 1",255,May 8 1989,9,19,18,1,19,19,0,0,0,0,0,0,0,0,0,0,0,0,2.0,$100000,
Erasmo Ramirez\ramirer02,31,ni NI,R,R,6' 0",220,May 2 1990,10,17,0,1,17,17,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,$100000,
Wilson Ramos\ramoswi01,33,ve VE,R,R,6' 1",245,Aug 10 1987,12,35,33,35,25,0,25,0,0,0,0,0,0,0,0,11,1,0,-0.4,$2000000,
Victor Reyes\reyesvi01,26,ve VE,B,R,6' 5",194,Oct 5 1994,4,76,56,76,62,0,0,0,0,0,0,1,20,43,62,6,8,8,0.1,,
Jacob Robson\robsoja01,26,ca CA,L,R,5' 10",182,Nov 20 1994,1st,4,1,4,4,0,0,0,0,0,0,3,1,0,4,0,1,1,-0.2,,
Jake Rogers\rogerja03,26,us US,R,R,6' 1",192,Apr 18 1995,2,38,35,38,38,1,37,0,0,1,0,0,0,0,0,0,1,0,1.1,,
Jonathan Schoop\schoojo01,29,cw CW,R,R,6' 1",225,Oct 16 1991,9,156,156,156,141,0,0,114,38,1,0,0,0,0,0,15,0,0,2.0,$4500000,
Zack Short\shortza01,26,us US,R,R,5' 10",180,May 29 1995,1st,61,47,61,57,0,0,0,2,3,52,0,0,0,0,2,3,6,-0.5,,
Tarik Skubal\skubata01,24,us US,R,L,6' 3",215,Nov 20 1996,2,31,29,2,31,31,0,0,0,0,0,0,0,0,0,0,0,0,1.7,,
Gregory Soto\sotogr01,26,do DO,L,L,6' 1",236,Feb 11 1995,3,62,0,6,62,62,0,0,0,0,0,0,0,0,0,0,0,0,1.4,,All-Star
Julio Teheran\teherju01,30,co CO,R,R,6' 2",205,Jan 27 1991,11,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,$100000,
Spencer Turnbull\turnbsp01,28,us US,R,R,6' 3",211,Sep 18 1992,4,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,1.3,,
Jose Urena\urenajo01,29,do DO,R,R,6' 2",208,Sep 12 1991,7,26,18,2,26,26,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,$3250000,
